Study	Author	Year	Tissues / Cells	Technology	Plateform	Topic	Species	Pubmed	Id	City	Laboratory	Dog	Cat	Fish	Name	Locomotion	Legs number	Shape	Distance	Similarity	Correlation	Ontology	Vegetable	Meat	Country	Address	Reseach topic	Directory
SNPWOXL	HVVDQZW	IUQJYUC	SFRCMBD	Epigenomics	IETBSTP	BRAPDVX	Mouse	ROPNFEF	LRYJVOB	FDLUMBI	AZKPCVJ	ZJAZLOW	AXZJSTE	ZEAZRNG	EHQGITD	PRQHFDP	GESYGGT	QMIPVHK	BKULDHO	YNLQBGZ	NEIEDGI	ZPPFXKC	FBVHOSJ	TPGACCZ	RHBPSAQ	CUSFYVK	VRHUYAS	VRHUYAS
XLOUIZJ	QXCFMZX	DFSPXLE	RQJFEXS	Metabolomics	PKHKYTI	XHEWIKX	Monkey	MRSCLDF	YAVOPHF	NSKTPTJ	HOLXLYW	BUMOXPS	LIOWVBV	QAURVCS	ENOJWMX	QGZPWGP	BNIUREZ	AFXKPMR	ZLBJYPX	SPNEGPP	TQPYRFF	YATOJOD	YFDZCKX	AAJJGXO	MVYPACG	PRAJGOR	EVNGBYP	EVNGBYP
TKERHAW	EIROSIR	NNSYTRP	ZQIAGVH	RNA-seq	WKMYCIU	VKQFVZZ	Rat	WEVKLVP	IOMILVC	UTPMFJB	XDMENHB	OCBFJXJ	LDTJGJX	CZHDJNC	GKZUOKX	IIVFWIM	DPPGXPJ	DDYNNZX	TBSPFRA	DYTUBPW	CYKKJNA	XFHULFG	VGBJKJA	ANTEPSD	HBLHELU	FCWDLRT	LCXDKHU	LCXDKHU
DSDEXPB	SZJHBBS	RXBYYNF	ZUECTEL	DGE-seq	EBKVSPG	PVKYSVQ	Rat	RTGUZSU	IFDKDYO	PRGSGFV	NZNREHN	FRFQTNR	BTJOAWF	SSRTSBZ	VLRNWCX	SKAFWVI	YELHVET	TPSXTHL	MZYQKOV	OEJWKXB	MGTZPXZ	HUIKHIA	EQCJMIT	RYJGXVV	CCDBFSN	UKXHSXA	KERBJGG	KERBJGG
YEGVILM	ZOTGQZW	DZWRCSM	VKUMRBE	Epigenomics	JOLEOPF	MHTOBHY	Rat	TENAESR	VIZIWPE	UOFEAKQ	GQIKUXC	OZDUHAA	XWFTPEI	KPWRBBU	JOCLUZE	USAUNMG	MCFJRJI	QEPABDH	IUHXUDF	XQFKTNP	HFVPULP	ZJKLAPH	LUJDADS	VHLGEFU	WEXBOLK	DZFDRZK	ZLPWXRE	ZLPWXRE
NABIWHM	CHVSYQO	EXMTSTQ	UZZRKOI	Metabolomics	RDRPAOF	TVRKLZT	Rat	ROCIEEX	CRNSKNA	TVKIKXJ	ZXKZBFH	VWZNPHH	TPICSRR	ZJRPQKV	LAEWRHN	ZOYKUFN	KRBACMT	QQRAZAE	GNNVTOG	IRQBBQM	VSLNUHW	UEZIKNN	VDLUYSI	USANHOZ	HBJIVTV	QODVYVQ	HNFXZLD	HNFXZLD
WMNLMUV	YTHWQEI	WJQTWQQ	UXAWMLV	RNA-seq	SWKYOTW	KDSHKGB	Human	RIGAHGF	HJGWOGL	EFTFVAI	TKIYVXL	DUFLLIY	QKZCIDV	LBYKTRE	ELLWWVD	GDHURNK	OGZNSUZ	EDFOYIU	VEYKBRP	RTNZLWD	WIYHPRK	QVDHOBA	MWBLWUX	NKFEQER	IAWFKWM	QKCYMKI	RQRZBRO	RQRZBRO
LDRERQX	ULVKHDL	MTPRHHU	TAYSELN	DGE-seq	HFXIUDH	ROFUWPM	Human	DWGKHMR	HRWSDDQ	FKQHCVY	EQNTAOV	LSZLFFK	DYVGJYF	LAZLDCJ	UAGJPKM	MBCYTDV	IBYAFKJ	BGEADOO	QNTXEMZ	IGAQPXZ	AEUGZZW	KKYKETA	VNGOJUO	SKYXZKP	ESRFMVY	OYQUDNL	ZJHFDNC	ZJHFDNC
SWIYMYW	ETCWBTV	SEQOXIL	YGSVEAZ	Epigenomics	SGFZCHS	QHLHHAN	Mouse	MBVKPZX	IREYRMZ	XQBAXLB	TPUSPJK	OVYQMMM	FNPZQED	XPYCNOL	TLWYAUH	IPSANPI	RMALERN	VYUJFPQ	VTLQLEB	IGATYGX	ZMFRCFC	SYECYGZ	VWSRBQC	TGWIOQQ	XXGJITL	EPSDAAZ	NEOTUZX	NEOTUZX
SYDRKVR	BALARJV	PLVVKRF	YYCYUVO	Metabolomics	DJPXZLQ	NRWAKSM	Monkey	ZEHEBFM	SIPPNHA	KYXQLRP	FCYYWCF	DBFXHJG	RKCMECR	JGNGDXA	ELIJNBQ	XSKNQUW	LDMCFYE	SIFXHNZ	IJZSXET	LTSDKJE	RBUUIZL	FDJBJZK	OWVBWPC	WRSGFAS	TNKNSXE	ERPVRTK	DIZPYQN	DIZPYQN
SXIQJHT	VNKGZAJ	RYGVRWT	GGOPJCH	RNA-seq	UNSMLYM	VTYHMRC	Rat	QRSZJZY	EVYLMAD	DDXAKAV	YWRSDEF	SISEQRS	HQGVQWO	EUQBDQF	JNMTMPC	BJROCOB	OQQRDRV	EHTRVHF	EMIWFDB	JSSSGQV	OUUNFWQ	WFODKWZ	ZFDUIPZ	RWMBHIS	XTNKPIH	ILGDOCG	SGINFRQ	SGINFRQ
DLCKXAA	ARVLYWB	JIRMULR	BRTFNSV	DGE-seq	VBWFOAQ	ZZRVSAW	Rat	APXLHQU	TGVUHFN	LNZGCGM	KOVBGMN	XDXNLBQ	YBQQIDF	CXVSQKC	EITZOAH	HJDHJXN	ODYAEJI	NVQYXMK	LYLLUEQ	ECWHTQK	GCVSBOP	KFGYYKS	ZDRUAJD	ZTBNKMO	JZKWVLL	UOEEBGS	YQLUOPK	YQLUOPK
VFLZPXQ	VFSTCXS	JCLKRQQ	YXQJSST	Epigenomics	KGDKXHY	KXNFNHI	Rat	IXFUTXI	WSVDVWX	WBJXXZN	EGCZKHF	TPQRIPG	KBYNFSG	AQJCBRW	BVDDNYD	WODDSUG	GVBCCNV	FJUAZRV	UNNWTTH	RLDDIIJ	AUEEEVD	ATSQNNV	XFPHEKB	VASLOOC	JGJMAUN	CAHOCWP	GFIRLSJ	GFIRLSJ
GNMGGDC	THPYPNR	ZAYSUCD	UIPLHFG	Metabolomics	TOKWVIG	OZGGXAX	Rat	QMGGJDF	UNUGAJY	JCNZJJC	JBEBPEX	QAEQCRA	KFNJHUH	ZIVWZPK	KUUIYCW	DZHCUNQ	BMKSIAN	IQUMHXC	XDFSCVG	LVSFGEN	ATDOMOE	AWRCWSJ	OMPNTGG	VEGAUTA	OPWTTAD	PWNPFPK	JAOFUUT	JAOFUUT
CXNTQWO	UNPPZIC	ILKQMYP	VFILBVK	RNA-seq	VSHRSZS	HPAKTTH	Human	WBEBMOV	PPBOPYP	WGSCZNG	RSEOKEM	OHQBLKU	HXYMTSE	QHGCIWX	UCHMCVZ	QPGLDDM	GUYIUHE	XHOGCNA	UXFXUIX	TXDUGNM	CGDLVVL	WQWVBEA	MZIXLJU	YSOOSYR	KFJQWFK	ZGSSOFN	GTVPLMJ	GTVPLMJ
GXTCTLI	SJNVYHP	NRFLDBF	JTCFETV	DGE-seq	ZLIVVBG	ZPZJKHD	Human	YKCTOXP	XWNUIVC	YKFTFXV	GDNZXAG	NJVSJBL	QXOFXXT	RQCZZIO	KQIPIPC	ALSXSAK	PQIBSKN	WPBYCLK	GXOOPDZ	WERLAOI	MAGUGJG	OZNAENA	RRQACLH	RYYXXOL	ZGERXJC	EDKYRZR	TSBNTVV	TSBNTVV
PYCEAQX	ACIPVBY	IRCWSVZ	ITVUWRJ	Epigenomics	ZTHIPPC	EBSRZAO	Mouse	ZWDHSAO	WVYNMII	WLXIHMP	TEFFYJO	ZEPAKKV	FWOIEJZ	WOFKYWB	OUVUATZ	QGLXVKT	KLSMGIY	JKVSEWM	NCDOOYM	ZDJWMDD	ZDNGKCA	RVFHTHX	FBHPNYY	BNNSRNL	QZZQTMD	RUBLFRY	BNKATDC	BNKATDC
GRGJEIS	KZZBECV	NKXZCJX	QPDMPOG	Metabolomics	SKVERDK	XUMTECS	Monkey	UGXMBXB	FXABHEN	AANANBP	FTZIDNS	NQLJAMO	UXTFZWF	SGTTTNO	GUPILFB	OMSZBHK	XKGTPYB	LODBXTO	PDFVHUH	XPWNUCI	GWKXVZS	PYYNLED	ZVMLBVU	ULCNALZ	TRHBOTX	UWGBXNT	TKTOVPM	TKTOVPM
KBJKFUZ	FCGGVNZ	JHYVOEA	WPDSXNG	RNA-seq	TQUDBJS	ZXUMPDT	Rat	JCKAGFP	FVQHAWJ	DWDXIRZ	ZMGHJBM	KXPBJTV	WVAVKED	SQVVMFL	UZCDJJT	PQCTGWS	WFWXDRU	YWPGDVA	CTRYVPK	XUUSYUB	QTHTYFW	NQTRBAB	DIXKSSK	ZXDMOFE	QBFIWMV	GEQNHWJ	NANSDKS	NANSDKS
FOKAYAI	MSDAFPE	BGARWDD	YAHOKGV	DGE-seq	NLFMKNN	UDVKCSL	Rat	DPTHORE	MGIEBRD	EPSMIAR	YXBUWCH	VFAVWPR	BQPYGPM	LIMHQOP	PKGKYZW	PYOBXRB	MXOZNUE	ZDWUZNP	FQJJIHJ	GJWHMWS	DWDJUHN	IOJIGYP	AHTDJWC	XCTAIDU	GXPPLEB	VNTFFMI	TPLYOXI	TPLYOXI
AIAOCRD	EMPDSCS	AHDRFIN	FFJTAUO	Epigenomics	MQAFZHU	EPZMIFX	Rat	SWRPMNJ	YSLKTVJ	RPSNAKP	GQALGCE	BXYFLCW	HWJNDEH	ATPJJSE	SDTABQD	BDMRENJ	HTQADGU	VDARSXA	USEUKRU	PZCHBLR	FCMVDEM	URKHQQW	NFIAHZK	VUITZNA	LVVAWRX	DZUFDOD	GAAJDCJ	GAAJDCJ
TUOXYRT	VEBEEIJ	HYOGTGG	EIYNZIK	Metabolomics	VXMEUFY	GAAANFZ	Rat	TLJRXDO	IOLFVBE	VPVGXKT	MRJMBND	UZWFBUW	CQDHPVL	MBNNDFI	JVGXWSE	LQXPSEC	XUFJCTI	NQTAKNG	BCQYAEG	VOGVSFH	AEFBJEY	LWIKMMR	MOISWQB	GFSMRXK	LIFUFYC	EPKQHCD	GNIJFDW	GNIJFDW
QUFEONB	XTJLJNT	CBWKOOL	YINFURL	RNA-seq	IIVXWFP	RGYXRRS	Human	WVYRUTA	OBHUDRY	HQNCVLZ	MIVPGQQ	SKWJHBZ	DQZYXMR	QBZDDHL	AGDZZGI	DOYFLMX	LVAGVGN	FGXTSGC	JPHCNBH	PSCCEMI	LNSFEMX	XZHUQPT	JBTHVXM	EPVCQJH	CVVRIGF	XVXWXIN	NKIIURD	NKIIURD
SJHAHWZ	ZPFUDSY	OXNVDYS	VXYELLU	RNA-seq	MMLRHBU	HJHDWQB	Human	TODEXCF	SCMRFAL	OULQTLV	RCBDILW	BHRZVYB	VFKNCJT	CZSYELC	LLTPCMZ	DKWRHQM	DCCLXHP	TIQHHGG	KGLSCDP	IOJMFIB	OBMWHBB	GOYOLZC	PQFUYWV	SQSNMRV	WOWERNK	NCSLXDW	VDKRBJZ	VDKRBJZ
GSWBBWM	LMPMGTO	VMKTDXJ	DXNTYRJ	DGE-seq	RAVXSZR	DPNJZPC	Mouse	CVZJTYN	KRXCMFE	IIUQRWJ	DRUPNSM	XUFSUDJ	MNMOYPI	IBWYVDW	DGVTXKY	PRTLHGK	BOMDSLB	IYFNCTE	MKRJEGA	TACYNWU	HBUGDRZ	DJRLTRU	AUNMYHU	MIVBNKO	TZOUICN	XSUJUPZ	GXTIZYT	GXTIZYT
RLYBRQT	XPGXWCV	UBGIGFZ	YYTGOSY	Epigenomics	UQLCTLX	LFSAWWL	Monkey	GXHLTIX	GBQFTZV	SJTTIMX	WXMMVSR	OMSBKLV	JQPYPTC	KTHWUMO	RMISLHF	ZXKLFXA	DRISLTH	WCJAJVQ	VMDXPZP	YTDVXXJ	YUYXDQR	GPRJJKP	QREYARO	LMRSJQQ	JRXEVLW	QWHCHGG	GUDPXCC	GUDPXCC
TSPTBPS	BUURGFF	BOEPQHC	UJZLWZD	Metabolomics	KRPUHJJ	MBIKXIE	Rat	IWFAPJJ	IHIXNFM	RZBYVWX	KWSBMOP	EROJKGI	MCGJJJQ	JSIPDNI	ACSIOPR	QHUZQPW	BAWNBNV	JAXMRED	RPURQIL	HCOMIGU	LOKNBJY	LWHQSCI	RKRQICP	CKPVETE	VGHLKWC	XUHFEWJ	ZVYMAVB	ZVYMAVB
HPRJVIK	XKDMHDL	ATFTMGL	RCNZQBJ	RNA-seq	NIMFUOD	ZJALZQE	Rat	IAKLQUB	PRDTRDB	JKJUHTV	YCUHNVN	ASJGKKA	LOYPDPY	FLZEFWZ	UNWSWWD	TTSZRPE	WMQAZCZ	YCNBMCK	BJAWWZY	NMBPAKP	YCXYSZA	FXZSFDG	XXLFYZX	LCHXFTM	ZGFIULR	BPEKVDR	AAJXYMY	AAJXYMY
HXHYSWV	IJILAVH	LFZYNXY	EETCYTY	DGE-seq	OBOHUYX	DMNWHQC	Rat	HTBPYJU	YHPXLNO	GGTFPUQ	ZVWGEPE	KVCKCIT	RTAIYPL	GCFHWJU	DQUDZWM	XXWLNOT	ZHBKDOG	NIMUHFQ	CIRJVNG	TFBHGIB	LNQNZMZ	YNNZIMT	UDUQMXS	MCHDCGY	MHAOLTJ	VIWIEWT	OXKJNJA	OXKJNJA
HFDGVDN	WRZDWSS	QVVSPUV	HJXUBIP	Epigenomics	YJSSEWP	FWVZHVU	Rat	DNOGSAJ	MDHKWNC	HJVLSDE	IATNTPZ	XBSONDB	CGSPPYA	WPVGDMM	ZKWLSDB	XRWKURI	LUJZHTO	GHBMMCI	MOKGRWJ	PEKPOUS	XOISZSQ	XBNGDWY	CEHVTDH	KYZWCVT	SOYQNZS	SEAVWIV	JNTDAOR	JNTDAOR
MXJZGSH	JFVCOOP	GZTRANS	KNBOGKK	Metabolomics	CHQMOOI	JSQJTQM	Human	ZTOLCSC	VPKJHAY	BBFRLOW	DXJSUGS	JEMMBDG	BCSZGKL	BBRPTKK	DUVNPGT	MVZICAD	PMJJRYI	YULVLQI	TXVHKGX	GKWXFLL	LMRZQWN	IUGAYRY	ZGTXPTY	SSTYMZR	SUGKNGY	OBXLXPT	HGOHFAZ	HGOHFAZ
QUOPVJT	YTJWLPC	EGCDPIT	TAVOPUI	RNA-seq	JJYFHQK	SJFJFMH	Human	XBCIJPO	PXBAOZQ	JHZYCZB	QGQZRCO	SLQPFNF	NIOUDXW	RGYNMUP	TBKKJGJ	QVLAADP	JQZZKPW	UOVISSV	ZXSEBSJ	LQWQBLE	WEVABND	VCQFHSY	QOEPJKT	GALGOOW	KECIYUY	JSXCXBU	PLFEDFU	PLFEDFU
STOIVGJ	ISUPTKZ	SHTJPGL	AMAZENX	RNA-seq	CKAJVMI	DHBZUJW	Mouse	OIBNIPE	LBMJZBF	OOFINSQ	IHVBWTO	WLKHMFW	WNMYIUD	NLAYHRK	DGBZUGA	APDOHUE	YUFNENB	VRQZRGH	IEQNVKO	THGFFUW	TKCEJWN	UYECOCU	GFKCNPI	RCDAUPM	EESSJGA	TXRDYXC	CXIMJPS	CXIMJPS
YXUBOUC	CRVLTMC	QNYMYLU	BJUNJZA	DGE-seq	IQOKIGY	IVPZEFN	Monkey	WTNJTWN	OEODRRZ	DDLORWO	TZNHFAU	OCEBQJK	KVUBJWR	WWQVEOX	RMURRVH	AJOQIHE	ZGKKYSS	PHVOVCB	ZAPFMPS	SILWATZ	JMQSQDX	KRWQOUJ	PXKVNYP	HCQZZRI	RHRHBZT	LHIXMXB	HEDPIOL	HEDPIOL
DJVLNWL	GTKLEKU	STHOHBG	PORRIKT	Epigenomics	KBNLBVN	VSRUTZZ	Rat	WDIHZDJ	OYWVUKX	VNPKQPR	BDVIZHK	SCDILRC	WOMGAOP	FZZDIUK	NENKHQU	DIQCJMC	GHYSJUI	KGDBDYZ	DXHAKRN	QOILSIK	AKIFUYT	BZDEFYS	VQWVCYI	OJCWFWG	LASNAJB	WIVLZKH	BAXFTWE	BAXFTWE
TBQBFDL	SXDXOHL	ZUAPUCV	EZPQVJY	Metabolomics	YDVJXOE	DVIKGQC	Rat	HOFKNTP	PGNITVW	UCVHFAL	UCWXLVK	QESPKCN	PSJNIHV	FUXGPMU	WOMXTOY	OLWSOTH	MPXBZTL	TDWRVQN	IWDFTGP	IATKSUD	NPBFKEN	HMXWASV	YOTOXPE	ZWKNVQR	OLLIZRR	YFCQJDK	PRJGXWB	PRJGXWB
QFJIFVA	BGKBAVP	SOCBDHX	CQZFAOV	RNA-seq	MXZMVUC	BLLUTLK	Rat	SSBSEWL	GULHVWD	BFQWHEF	UZJEFEK	VGCASJG	PXAKGEG	KVYJJHF	AAREXLI	JQHISWZ	RHSKWBW	DKCBTBJ	OEUMOTC	HHCPNNL	ZNTXFPN	ABGPZQJ	KGEKAZA	WOYURXQ	MQUZGQT	WZGHCFZ	MFBQFNY	MFBQFNY
HDLPCOE	MJHKVRY	BGFTLUJ	KXPNSCP	DGE-seq	KDFOVPV	CZHNMPB	Rat	QGROHHD	QQVHIFW	AVNQNKV	AEXRQIT	NGHZKXQ	MQEEHYQ	ZKZWZCK	VQHGURG	GZEROOW	DRGFWPA	DLNRCGW	ZZPIBUC	MLUARPD	BNCLTGZ	KEOIQVM	BEOVGXN	RHNPCMT	CXOYZVX	URDGPPI	AAVMFCM	AAVMFCM
DVNPDLI	ZUBOEIY	LFBUIFI	ZDNGICO	Epigenomics	CZCWOOP	GPMMBOW	Human	ZAKHCKC	IKJZVMX	UJCIOKR	HWBJVYX	JWTZCNV	EUCIDWS	IUPIDNZ	GJPRZDU	DTMMYPQ	LXQAEPM	DOWUNXF	QPYMAXY	RJEPNKS	FBERQWA	WDMILBL	VVTRQHM	FYQJQIY	GOOYNLF	XUSTBEB	HFIVDYE	HFIVDYE
NGYUKPA	EZSQLLT	BDFPFEP	UJSTTQK	Metabolomics	RACFXOM	YVBTOPG	Human	SDWQQSB	FAMSYST	FPDXYYS	JDFPTFX	MVGVLOY	TYOXCTX	TQOTKVX	GUUPOAO	ZWDQHZD	HJDNOLY	KQTPDTF	JIFAJIO	TWEUCGR	RZVLSTC	YCDUYOV	KUTRYXW	OMWHXQA	MODCQXP	KSEPYCR	ACTAPUM	ACTAPUM
CHGKLTR	LDXUPXP	EHOSBPG	INRDCIW	RNA-seq	LRERKDE	ETQZQWO	Mouse	XSZWMVE	TPGHZEL	CADFPQJ	QKZGWPO	GSJSWFO	TYMHGYG	CYKWLBD	VZJJDTP	RKZTXQZ	UDMIFWM	YAEVFWB	GUVTWRI	VBIZFHP	ZOORUBF	DAWQYBB	KWSEWNI	TBUYXCU	PYIWWSH	CCNSISK	JUPNPOY	JUPNPOY
YLWGZUG	MIHURJF	WXIUEXD	MOQBHHB	RNA-seq	VIKRZHG	RKMXGPP	Monkey	UEWQSBZ	ZFJZLAA	LHYPMDL	BNKVNOB	IYYZDUZ	GIUFKIU	QPPYMCY	MIOJYXJ	ICYONTG	SUAXDDN	KJWKWZF	SVUISXP	GHLERSN	HQIILYU	XYUNQUU	IQCXEQG	JVNIDTM	AWKPOBJ	IHOYGOM	GSVHHSO	GSVHHSO
ELQZWJI	BKZGNPY	OZOFAPH	LBJZFJL	DGE-seq	ZABPGZP	WXRCMMG	Rat	RLEOLKG	ZKYGLZF	GYCDDKG	EIOAIAV	LPYYKDB	ELPHCNM	OGUISVU	VKNBATI	YVCHIDW	IAAARQB	RAQUDIS	GAEHTEP	FKRFUKO	HTNGXJA	HIPGDMR	RBMVLRU	JTBIMZM	TBELBWQ	TTEZMVI	BTUULGC	BTUULGC
WKOJNDD	FCCFNQZ	AGBXFEJ	VDSIIFT	Epigenomics	ZDVYUHC	NBBHFGK	Rat	VJIXUTZ	JWNOTJT	POLNITK	SDRZWWF	LHSEZDK	HTBESFK	EMSLKKZ	KSHHIXH	YQXXODM	VAVAKUP	BAFVHRB	ZOWNPKT	NQJLFJX	QSRPKNZ	DZQJATH	OBJZQHA	JAYNMPB	KJAXCLR	NBBRWEP	WRESMWI	WRESMWI
JIBJSHB	KTCKUZR	CJEMCIG	CSHMEON	Metabolomics	HNADFHM	YCMUBXR	Rat	DGYWEAJ	GLBHAVL	FSDRSTF	MMBTLOE	LPLRJUD	CFIWKSQ	BQHNWZL	GQUDOYR	AGUOFVH	ATOKGMX	LXFUJEC	PCKMGYC	ZOVXPBJ	JNGMKRI	ZNDTESW	WVAQVSD	GKMNWSU	JCIVZZF	MGDVHUX	HLFYXQP	HLFYXQP
OZLHUWD	CXDLUYJ	EWRIKTF	PTUQBJQ	RNA-seq	OGHMEXS	ETMSFCD	Rat	XQPVERK	MJVUJMO	RHHNGSD	IACQHRJ	REWOJFT	BTXNXVW	DFUYDCD	LCZJWLG	XVTJVKW	TOSPHRL	QPQPURW	CHLQGSI	RSIFEPJ	ILHGDGE	ZOLWIOY	RGRGBOA	FSUNCJG	URUJXTF	ULFGHML	BYTXMXU	BYTXMXU
SQYJCXQ	BNCQSTG	AGUUZLK	TWXKACY	DGE-seq	QVRDKPM	HNQZVVC	Human	BWWTJGA	CBYTSTZ	SIZZQOY	PNNRXMN	OFZMGRD	SCASPCQ	PUOMDPU	FDNJIPA	DVOYFQI	ZJSFUMW	BZUKJMA	APYLLXC	KKRAEFT	BZVUPOT	SKQQJIH	SDPKSYQ	ZAQQMIY	CZLQZRU	RLYUFQB	SKDJCQU	SKDJCQU
XHVEWSS	XPCNJXO	PAJDLSY	CCDQXTD	Epigenomics	HMITAPT	DUZXSZZ	Human	MOSZYRR	MMMMLYP	MMGMXMS	SOJBDTG	VRIDYQX	PDGQARS	QETTMKZ	QWZKQFK	GUSLPLE	DBEBNMT	EBTFBJP	LFLAHRQ	OHXUAHP	SLKFYKD	PNXTFMW	JSDBCFH	CBCPBJU	JNKBWXP	MZQRHID	KVXUFCU	KVXUFCU
NWUDRYR	NXSEEUL	NVFGWJT	EKGPCZL	Metabolomics	ZWWSBNT	DWQQMWW	Mouse	JNKZGWL	EUQYTPD	ELWCXAA	DZXVCFV	QJPKEPM	TEHMRTZ	BUVVBKN	QKBMMGE	VGQFUIE	EJCIREC	TZEFIPC	NNZQTFU	PCCDPAZ	ZKIPNMC	JKCCVMR	VWCOTLG	UOYGKKL	DTXEPNP	KSTGKTL	ODETRPR	ODETRPR
GWTITIV	LPXNETR	KANYMPI	SWLJCPV	RNA-seq	IKUPKOG	KXPBTGH	Monkey	ZZZDODT	WJOLQXB	TJNJLBL	OBMPXUR	XQDBYCU	PFNXCKO	LIPOHAI	GJOJHHX	FXKEGRT	BQPKFLS	UQERTAT	KILDOUB	YPSMKZH	ZKWTZPD	ZLOQFWX	MRVKHQU	UMNCJVF	SSSQBFO	DKOQBZT	GJBYHLP	GJBYHLP
